com.samsung.health.skin_temperature,6307003,4
create_sh_ver,stat_m1,stat_m2,baseline,start_time,binning_data,stat_n,tag_id,modify_sh_ver,lower_bound,update_time,create_time,client_data_id,upper_bound,max,min,client_data_ver,temperature,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
,36.77054,1352.0968,35.96207,2024-07-10 05:45:00.000,18716a39-48c6-48bb-9109-eb77f4fa90f8.binning_data.json,41,31301,,34.629337,2024-07-10 07:09:50.962,2024-07-10 07:09:50.962,,37.294804,36.927216,36.3514,,36.77054,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-07-10 06:44:00.000,18716a39-48c6-48bb-9109-eb77f4fa90f8,
,35.79014,1281.1898,36.106777,2024-07-06 07:48:00.000,a0dae77d-cf52-40f4-9e3f-956a441f0837.binning_data.json,300,31301,,34.809307,2024-07-10 07:09:52.970,2024-07-08 20:57:01.530,,37.404243,36.876797,34.919975,,35.79014,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-07-06 13:05:00.000,a0dae77d-cf52-40f4-9e3f-956a441f0837,
,36.401657,1325.2871,35.981735,2024-07-11 06:13:00.000,550351a1-00f8-4299-8425-22371f5dabe9.binning_data.json,420,31301,,34.68535,2024-07-11 13:33:24.500,2024-07-11 13:33:24.500,,37.278122,37.22803,35.487392,,36.401657,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-07-11 13:33:00.000,550351a1-00f8-4299-8425-22371f5dabe9,
,36.027897,1298.2045,35.97626,2024-07-10 07:11:00.000,778f4e3b-1984-4087-a7f9-f95f15f93202.binning_data.json,277,31301,,34.638374,2024-07-11 13:33:29.650,2024-07-10 12:32:43.855,,37.314148,36.973957,35.187122,,36.027897,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-07-10 11:55:00.000,778f4e3b-1984-4087-a7f9-f95f15f93202,
,36.153038,1307.2987,36.039883,2024-07-12 06:29:00.000,ab6c2d04-7485-4410-99a6-2b4dc2bada52.binning_data.json,391,31301,,34.759827,2024-07-12 13:53:34.758,2024-07-12 13:53:34.758,,37.31994,37.054638,34.946503,,36.153038,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-07-12 13:53:00.000,ab6c2d04-7485-4410-99a6-2b4dc2bada52,
,35.60649,1268.3473,36.091248,2024-07-14 06:36:00.000,0df3f0b9-b104-4d34-b0bc-89f32dfa010d.binning_data.json,440,31301,,34.828747,2024-07-14 15:07:55.486,2024-07-14 15:07:55.486,,37.353752,37.05907,34.114048,,35.60649,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-07-14 15:07:00.000,0df3f0b9-b104-4d34-b0bc-89f32dfa010d,
,36.305634,1318.496,36.052807,2024-07-13 06:40:00.000,e1fd2fb6-9545-4e0c-bd8a-51f25a642cda.binning_data.json,614,31301,,34.80023,2024-07-14 23:27:16.692,2024-07-13 17:30:18.598,,37.30538,37.43766,34.57495,,36.305634,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-07-13 16:51:00.000,e1fd2fb6-9545-4e0c-bd8a-51f25a642cda,
,36.67766,1345.424,36.043617,2024-07-14 21:26:00.000,c2b8b717-2369-4d0f-9086-8bfd3469aa3e.binning_data.json,76,31301,,34.733852,2024-07-16 14:09:47.004,2024-07-14 23:27:16.897,,37.353386,37.257668,35.776325,,36.67766,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-07-14 22:41:00.000,c2b8b717-2369-4d0f-9086-8bfd3469aa3e,
,35.135098,1236.1261,36.0542,2024-07-16 05:37:00.000,84cddb06-0555-458d-bcbb-9b3b5fc3ec0d.binning_data.json,480,31301,,34.741455,2024-07-17 15:01:04.839,2024-07-16 14:09:13.508,,37.366943,37.15096,32.518013,,35.135098,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-07-16 13:41:00.000,84cddb06-0555-458d-bcbb-9b3b5fc3ec0d,
,36.150852,1307.1809,35.947166,2024-07-19 07:50:00.000,584b54c3-9bb7-4c81-b637-22e89f5e39c5.binning_data.json,439,31301,,34.40438,2024-07-19 15:34:47.039,2024-07-19 15:34:47.039,,37.489952,37.014126,34.686676,,36.150852,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-07-19 15:34:00.000,584b54c3-9bb7-4c81-b637-22e89f5e39c5,
