com.samsung.health.floors_climbed,6307003,7
start_time,custom,update_time,create_time,client_data_id,client_data_ver,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2024-06-04 07:00:00.000,,2024-06-04 17:09:49.399,2024-06-04 17:09:49.399,,,1.0,63a649a3-9f3a-435a-8640-be6f61f4ab84.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-06-04 17:09:49.213,63a649a3-9f3a-435a-8640-be6f61f4ab84,
2024-06-05 03:16:06.150,,2024-06-05 05:22:09.425,2024-06-05 05:22:09.425,,,1.0,d1915f7a-36b4-4f77-ab5a-f59bb6004153.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-06-05 05:20:48.000,d1915f7a-36b4-4f77-ab5a-f59bb6004153,
2024-07-02 01:48:28.041,,2024-07-02 02:21:20.495,2024-07-02 02:21:20.495,,,2.0,7a9e40ed-5ac0-4080-9ed2-babf35f938e0.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-07-02 02:11:48.000,7a9e40ed-5ac0-4080-9ed2-babf35f938e0,
2024-06-30 05:57:37.132,,2024-06-30 05:59:27.519,2024-06-30 05:59:27.519,,,1.0,eba4bee9-1f7d-4523-a3cb-60e52f8f9178.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-06-30 05:59:01.999,eba4bee9-1f7d-4523-a3cb-60e52f8f9178,
2024-06-30 20:39:48.700,,2024-07-01 00:15:01.883,2024-07-01 00:15:01.883,,,1.0,d5bd1c45-25aa-49b5-922b-05b015c9923d.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-07-01 00:15:01.826,d5bd1c45-25aa-49b5-922b-05b015c9923d,
2024-07-02 18:12:26.940,,2024-07-02 18:36:47.309,2024-07-02 18:36:46.088,,,2.0,d8e8e55e-a3ef-421c-a1eb-9eb12058e565.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-07-02 18:32:25.000,d8e8e55e-a3ef-421c-a1eb-9eb12058e565,
2024-07-03 05:15:31.769,,2024-07-03 06:15:05.157,2024-07-03 06:15:05.157,,,1.0,c92935a7-943c-46d4-9d72-f9391b987cf9.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-07-03 05:19:12.000,c92935a7-943c-46d4-9d72-f9391b987cf9,
2024-07-01 00:15:01.826,,2024-07-01 02:15:05.393,2024-07-01 02:15:05.393,,,1.0,a482b017-1779-4c02-9e22-9783bc448865.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-07-01 02:03:31.001,a482b017-1779-4c02-9e22-9783bc448865,
2024-07-01 02:03:31.001,,2024-07-01 03:48:54.533,2024-07-01 03:48:54.533,,,1.0,f2dc6ae6-f0ad-4b0d-9115-f23895a17904.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-07-01 03:07:20.000,f2dc6ae6-f0ad-4b0d-9115-f23895a17904,
2024-07-06 03:35:29.926,,2024-07-06 04:32:51.182,2024-07-06 04:32:51.182,,,1.0,ea4e64d2-dabc-44e3-8b8c-5ae376e322d2.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-07-06 04:32:51.051,ea4e64d2-dabc-44e3-8b8c-5ae376e322d2,
2024-07-01 16:33:30.327,,2024-07-01 16:52:04.607,2024-07-01 16:52:04.607,,,1.0,12be9792-749f-4d93-894a-8daf197b1e8d.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-07-01 16:36:05.000,12be9792-749f-4d93-894a-8daf197b1e8d,
2024-07-05 07:07:46.536,,2024-07-05 10:25:17.925,2024-07-05 10:25:17.925,,,1.0,9f55a741-0f70-4868-84e6-38484149abf3.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-07-05 08:31:45.000,9f55a741-0f70-4868-84e6-38484149abf3,
