com.samsung.shealth.program.sleep_coaching.mission,6307003,3
create_sh_ver,answer,priority,modify_sh_ver,update_time,create_time,data_version,day_index,mission_id,deviceuuid,pkg_name,is_key_habit,session_id,datauuid,is_done
62670070,null,11,62670070,2024-07-13 17:30:18.162,2024-07-13 17:30:18.162,2,10,HB_11,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,f831ca53-38fd-4701-b441-665d886597f3,0,
62670070,null,10,62670070,2024-07-13 17:30:18.164,2024-07-13 17:30:18.164,2,13,HB_10,3sHRV5oxWU,com.sec.android.app.shealth,1,be1bf15d-a712-4720-b630-d99311cacc96,9344d87c-fd12-4348-938b-e05744f9aa6a,0,
62670070,null,3,62670070,2024-07-13 17:30:18.161,2024-07-13 17:30:18.161,2,9,HB_03,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,b14b66ed-a27e-4db2-bb18-976f208d12a5,0,
62670070,null,3,62670070,2024-07-13 17:30:18.162,2024-07-13 17:30:18.162,2,10,HB_03,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,50cd3c18-7b6e-4b24-83aa-e486e96fe659,0,
62670070,null,10,62670070,2024-07-13 17:30:18.162,2024-07-13 17:30:18.162,2,11,HB_10,3sHRV5oxWU,com.sec.android.app.shealth,1,be1bf15d-a712-4720-b630-d99311cacc96,01b50027-7ccf-4d55-9dac-88ef0bde8a12,0,
62670070,null,11,62670070,2024-07-13 17:30:18.163,2024-07-13 17:30:18.163,2,12,HB_11,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,babd8ebd-8d34-4882-9782-583e2bdea35d,0,
62670070,null,9,62670070,2024-07-13 17:30:18.162,2024-07-13 17:30:18.162,2,10,HB_09,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,5ec14cae-c3c0-4004-a1b1-8cb2456d9f4f,0,
62670070,null,11,62670070,2024-07-13 17:30:18.163,2024-07-13 17:30:18.163,2,11,HB_11,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,7c20e2a0-1260-48dd-9cfb-a53066959d70,0,
62670070,null,3,62670070,2024-07-13 17:30:18.163,2024-07-13 17:30:18.163,2,11,HB_03,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,a75c34d4-d792-4989-85eb-e9addbf2165a,0,
62670070,null,10,62670070,2024-07-13 17:30:18.163,2024-07-13 17:30:18.163,2,12,HB_10,3sHRV5oxWU,com.sec.android.app.shealth,1,be1bf15d-a712-4720-b630-d99311cacc96,52e187a4-3376-4b4d-af0c-895fa47cfbea,0,
62670070,null,5,62670070,2024-07-13 17:30:18.162,2024-07-13 17:30:18.162,2,10,HB_05,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,7def77f7-9fb8-4985-9d44-a79d27f4cefd,0,
62670070,null,6,62670070,2024-07-13 17:30:18.162,2024-07-13 17:30:18.162,2,10,HB_06,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,20e729ee-a035-4c05-bbcd-787983cb2af9,0,
62670070,null,3,62670070,2024-07-13 17:30:18.164,2024-07-13 17:30:18.164,2,13,HB_03,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,602f0de0-ed6b-4e02-ac74-3facde05f26a,0,
62670070,null,9,62670070,2024-07-13 17:30:18.163,2024-07-13 17:30:18.163,2,11,HB_09,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,f02bb4d7-1793-44f2-b20c-5302528f111d,0,
62670070,null,3,62670070,2024-07-13 17:30:18.163,2024-07-13 17:30:18.163,2,12,HB_03,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,5a945705-cd3b-445a-8825-18f1bce1739b,0,
62670070,null,5,62670070,2024-07-13 17:30:18.163,2024-07-13 17:30:18.163,2,12,HB_05,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,953183f4-20e1-4b7d-a49e-0978a8e348ed,0,
62670070,null,11,62670070,2024-07-13 17:30:18.164,2024-07-13 17:30:18.164,2,13,HB_11,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,e8c64f72-817f-4a96-9253-74b9263b597f,0,
62670070,null,5,62670070,2024-07-13 17:30:18.164,2024-07-13 17:30:18.164,2,13,HB_05,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,73f904d3-cb49-4640-90d0-b2055e606098,0,
62670070,null,6,62670070,2024-07-13 17:30:18.163,2024-07-13 17:30:18.163,2,11,HB_06,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,2438f642-ccdf-437a-bc74-3201a2bc12c6,0,
62670070,null,5,62670070,2024-07-13 17:30:18.165,2024-07-13 17:30:18.165,2,14,HB_05,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,bd7ace46-a8f4-4466-aeb5-3107d5582371,0,
62670070,null,9,62670070,2024-07-13 17:30:18.164,2024-07-13 17:30:18.164,2,12,HB_09,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,cec44737-4bff-48f6-93f5-892030c58708,0,
62670070,null,6,62670070,2024-07-13 17:30:18.165,2024-07-13 17:30:18.165,2,14,HB_06,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,337cadae-7a3e-4a3a-a12e-e58914690527,0,
62670070,null,5,62670070,2024-07-13 17:30:18.163,2024-07-13 17:30:18.163,2,11,HB_05,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,40511414-712b-4af8-a5aa-306f9f3dd91f,0,
62670070,null,3,62670070,2024-07-13 17:30:18.165,2024-07-13 17:30:18.165,2,14,HB_03,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,7255b4e0-73af-4335-a595-c0eaf690dfe6,0,
62670070,null,10,62670070,2024-07-13 17:30:18.164,2024-07-13 17:30:18.164,2,14,HB_10,3sHRV5oxWU,com.sec.android.app.shealth,1,be1bf15d-a712-4720-b630-d99311cacc96,1109712d-0fbe-49bc-b710-7fb898500e7b,0,
62670070,null,5,62670070,2024-07-13 17:30:18.165,2024-07-13 17:30:18.165,2,15,HB_05,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,365e0167-f455-45e5-b069-2d2e9bfdbe68,0,
62670070,null,5,62670070,2024-07-13 17:30:18.166,2024-07-13 17:30:18.166,2,16,HB_05,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,ca2c2e7a-1fec-464d-921c-450b7822d4c4,0,
62670070,null,11,62670070,2024-07-13 17:30:18.164,2024-07-13 17:30:18.164,2,14,HB_11,3sHRV5oxWU,com.sec.android.app.shealth,1,be1bf15d-a712-4720-b630-d99311cacc96,82d91648-0909-4f86-9af2-6a526f7e4509,0,
62670070,null,6,62670070,2024-07-13 17:30:18.163,2024-07-13 17:30:18.163,2,12,HB_06,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,b7d2dfcd-8c0e-42ad-aaf8-6b1a471f0e53,0,
62670070,null,10,62670070,2024-07-13 17:30:18.165,2024-07-13 17:30:18.165,2,16,HB_10,3sHRV5oxWU,com.sec.android.app.shealth,1,be1bf15d-a712-4720-b630-d99311cacc96,5bc90246-2585-4dc5-a830-4f8fae2cbcbb,0,
62670070,null,6,62670070,2024-07-13 17:30:18.165,2024-07-13 17:30:18.165,2,15,HB_06,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,6787984a-2af6-4ac6-8da6-f5c85e360e32,0,
62670070,null,6,62670070,2024-07-13 17:30:18.164,2024-07-13 17:30:18.164,2,13,HB_06,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,0484ded8-a779-481e-a12e-d68b6726088c,0,
62670070,null,3,62670070,2024-07-13 17:30:18.165,2024-07-13 17:30:18.165,2,15,HB_03,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,c79db697-04af-4cde-af58-f4a02659d965,0,
